Q07163	Saccharomyces cerevisiae	Fungi	1755	False	4	0
Q924K8	Mus musculus	Metazoa	591	False	3	0
P21145	Homo sapiens	Metazoa	153	True	1	0
Q9UUM2	Schizosaccharomyces pombe (strain 972 / ATCC 24843)	Fungi	971	False	4	0
Q04781	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	1562	False	2	0
F4JHA2	Arabidopsis thaliana	Viridiplantae	884	False	2	0
P53255	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	507	False	3	0
F4JYC8	Arabidopsis thaliana	Viridiplantae	1706	False	3	0
Q9SQK3	Arabidopsis thaliana	Viridiplantae	315	False	4	0
Q9BQG0	Homo sapiens	Metazoa	1328	False	1	0
Q8IEK7	Plasmodium falciparum (isolate 3D7)	Other	87	False	5	0
Q8WZ33	Homo sapiens	Metazoa	124	False	5	0
Q7RWZ7	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	201	False	5	0
Q01329	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	785	False	4	0
F4JLC1	Arabidopsis thaliana	Viridiplantae	331	False	2	0
P82649	Bos taurus	Metazoa	359	False	5	0
Q03557	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	464	False	2	0
Q99679	Homo sapiens	Metazoa	349	False	5	0
Q9BTF0	Homo sapiens	Metazoa	503	False	1	0
P53212	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	290	False	5	0
Q9DCX7	Mus musculus	Metazoa	243	True	5	0
Q9BXU7	Homo sapiens	Metazoa	913	False	2	0
Q42510	Arabidopsis thaliana	Viridiplantae	1451	False	2	0
Q9NK54	Drosophila melanogaster	Metazoa	1711	False	2	0
A2AIL4	Mus musculus	Metazoa	333	False	5	0
P31228	Bos taurus	Metazoa	341	False	2	0
Q9XH32	Spinacia oleracea	Viridiplantae	222	False	5	0
P52591	Rattus norvegicus	Metazoa	1199	True	4	0
Q8VYZ5	Arabidopsis thaliana	Viridiplantae	900	False	3	0
P53309	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	568	False	4	0
H2L056	Caenorhabditis elegans	Metazoa	613	False	3	0
P10914	Homo sapiens	Metazoa	325	False	1	0
O43924	Homo sapiens	Metazoa	150	False	1	0
Q6PRD7	Homo sapiens	Metazoa	247	False	1	0
Q9FMZ0	Arabidopsis thaliana	Viridiplantae	337	False	3	0
Q4WF55	Aspergillus fumigatus (strain ATCC MYA-4609 / CBS 101355 / FGSC A1100 / Af293)	Fungi	462	False	2	0
O18017	Caenorhabditis elegans	Metazoa	988	False	3	0
